City,State,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
Arizona,AZ,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
Apache Junction,AZ,35935,35695,36090,36633,37468,38380,39517,40538
Avondale,AZ,76220,77145,78525,79451,80307,81457,82716,84025
Benson,AZ,5078,5146,5127,5032,4942,4891,4853,4837
Bisbee,AZ,5612,5584,5525,5373,5308,5198,5210,5192
Buckeye,AZ,51393,52520,54415,56616,59109,61636,64639,68453
Bullhead City,AZ,39547,39693,39627,39546,39558,39784,39963,40252
Camp Verde,AZ,10870,10897,10888,10974,11042,11111,11180,11201
Carefree,AZ,3367,3410,3472,3524,3571,3662,3732,3783
Casa Grande,AZ,48971,48854,49327,49562,51078,52400,53960,55477
Cave Creek,AZ,4816,4891,5006,5160,5327,5465,5546,5622
Chandler,AZ,236486,236861,237682,239905,240898,243681,247838,253458
Chino Valley,AZ,10809,10788,10798,10868,10959,11036,11190,11705
Clarkdale,AZ,4080,4064,4066,4090,4132,4183,4245,4330
Clifton,AZ,3268,3346,3409,3457,3613,3692,3739,3680
Colorado City,AZ,4820,4826,4822,4799,4783,4817,4822,4837
Coolidge,AZ,11913,11807,11823,11833,11985,12177,12449,12698
Cottonwood,AZ,11197,11155,11172,11272,11441,11590,11867,12023
Dewey-Humboldt,AZ,3895,3881,3893,3917,3951,3972,4027,4064
Douglas,AZ,17607,17560,16957,16802,16737,16653,16551,16165
Duncan,AZ,689,712,727,748,784,802,805,788
Eagar,AZ,4918,4927,4937,4947,4910,4854,4868,4881
El Mirage,AZ,31802,32200,32769,33355,33891,34535,34942,35216
Eloy,AZ,16833,16950,17250,16819,16522,17798,17325,19168
Flagstaff,AZ,66145,66080,67900,68028,68502,69895,71060,71975
Florence,AZ,26775,26583,26554,25337,26806,26381,25809,26074
Fountain Hills,AZ,22509,22786,23184,23467,23758,24117,24364,24583
Fredonia,AZ,1331,1319,1312,1316,1317,1315,1315,1304
Gila Bend,AZ,1921,1942,1975,1998,2017,2042,2059,2069
Gilbert,AZ,209446,211427,215885,221603,227297,232399,237135,242354
Glendale,AZ,226127,228802,232953,236349,238672,241800,244168,246709
Globe,AZ,7538,7509,7386,7349,7332,7315,7336,7356
Goodyear,AZ,65473,66565,67802,70376,72339,74817,77411,79858
Guadalupe,AZ,5528,5864,5986,6088,6177,6252,6322,6525
Hayden,AZ,660,656,649,648,646,643,632,631
Holbrook,AZ,5053,5015,5004,4983,4994,4983,5016,5049
Huachuca City,AZ,1861,1865,1834,1804,1778,1755,1737,1729
Jerome,AZ,446,444,444,446,450,452,455,455
Kearny,AZ,1956,1930,1936,1936,1973,2007,2053,2095
Kingman,AZ,28132,28302,28352,28395,28510,28828,29059,29472
Lake Havasu City,AZ,52578,52769,52774,52761,53003,53387,53793,54411
Litchfield Park,AZ,4900,4990,5170,5373,5528,5684,5834,6009
Mammoth,AZ,1508,1491,1496,1496,1517,1544,1580,1611
Marana,AZ,34755,35551,36733,38324,40400,41804,43257,44792
Maricopa,AZ,43684,43861,44027,44811,45543,46109,46906,48007
Mesa,AZ,440952,446941,455881,463124,470722,479108,487376,496401
Miami,AZ,1822,1811,1792,1787,1775,1769,1772,1771
Nogales,AZ,20813,20845,20769,20547,20323,20150,20045,20076
Oro Valley,AZ,41057,41178,41272,41478,41722,43223,43567,44350
Page,AZ,7395,7419,7418,7477,7500,7498,7541,7553
Paradise Valley,AZ,12807,13034,13316,13542,13764,14051,14146,14293
Parker,AZ,3058,3121,3028,3091,3085,3063,3054,3059
Patagonia,AZ,913,915,908,901,894,886,880,880
Payson,AZ,15320,15228,15145,15198,15234,15248,15404,15520
Peoria,AZ,154896,155052,155354,156373,157779,160430,164205,168181
Phoenix,AZ,1449039,1467519,1495880,1521182,1547729,1575039,1602042,1626078
Pima,AZ,2379,2383,2401,2438,2484,2524,2516,2513
Pinetop-Lakeside,AZ,4289,4282,4279,4265,4279,4279,4311,4361
Prescott,AZ,39772,39750,39859,40211,40734,41399,42264,42731
Prescott Valley,AZ,38837,38752,39077,39847,40866,41914,42908,44466
Quartzsite,AZ,3685,3695,3693,3667,3658,3637,3679,3694
Queen Creek,AZ,26554,26869,27134,28645,30659,32820,35551,39184
Safford,AZ,9532,9512,9517,9589,9765,9684,9652,9641
Sahuarita,AZ,25574,26308,26744,27291,27810,28163,28694,29318
St. Johns,AZ,3494,3513,3535,3532,3505,3464,3484,3508
San Luis,AZ,28411,30359,30219,30491,31019,31476,32024,32446
Scottsdale,AZ,217550,220383,224587,227993,232683,239649,246204,249950
Sedona,AZ,10040,9997,10009,10077,10213,10259,10336,10336
Show Low,AZ,10703,10730,10753,10727,10796,10817,10938,11098
Sierra Vista,AZ,45399,46281,46466,45080,43572,43300,43080,42912
Snowflake,AZ,5601,5587,5572,5561,5617,5623,5683,5753
Somerton,AZ,14414,14640,14752,14996,15256,15443,15721,16120
South Tucson,AZ,5642,5628,5603,5589,5628,5614,5624,5643
Springerville,AZ,1965,1970,1972,1978,1965,1940,1947,1956
Star Valley,AZ,2308,2295,2275,2268,2273,2264,2276,2287
Superior,AZ,2884,2847,2858,2856,2889,2940,3008,3068
Surprise,AZ,117663,119449,122005,124613,127255,129633,131980,134085
Taylor,AZ,4107,4097,4095,4085,4108,4108,4143,4185
Tempe,AZ,162297,164208,168157,170144,174782,178154,183683,185038
Thatcher,AZ,4835,4823,4833,4883,5003,4959,5014,5021
Tolleson,AZ,6543,6615,6728,6806,6981,7075,7151,7205
Tombstone,AZ,1392,1394,1371,1350,1329,1316,1302,1296
Tucson,AZ,523832,526615,527439,528067,529392,529880,531547,535677
Tusayan,AZ,570,565,564,577,582,584,588,583
Wellton,AZ,2890,2936,2943,2947,2947,2926,2953,2989
Wickenburg,AZ,6535,6616,6731,6808,6880,6972,7165,7409
Willcox,AZ,3762,3764,3705,3645,3603,3554,3498,3501
Williams,AZ,3032,3014,3011,3048,3084,3099,3139,3158
Winkelman,AZ,355,353,349,348,348,346,347,347
Winslow,AZ,9701,9629,9390,9436,9551,9532,9584,9402
Youngtown,AZ,6148,6213,6313,6384,6588,6665,6719,6760
Yuma,AZ,91326,94121,93524,92711,93146,93405,94431,95502
Apache County,AZ,71838,72179,72215,72292,71762,70979,71373,71606
Eagar,AZ,4918,4927,4937,4947,4910,4854,4868,4881
St. Johns,AZ,3494,3513,3535,3532,3505,3464,3484,3508
Springerville,AZ,1965,1970,1972,1978,1965,1940,1947,1956
Balance of Apache County,AZ,61461,61769,61771,61835,61382,60721,61074,61261
Cochise County,AZ,131782,132952,131826,129332,127054,126084,125355,124756
Benson,AZ,5078,5146,5127,5032,4942,4891,4853,4837
Bisbee,AZ,5612,5584,5525,5373,5308,5198,5210,5192
Douglas,AZ,17607,17560,16957,16802,16737,16653,16551,16165
Huachuca City,AZ,1861,1865,1834,1804,1778,1755,1737,1729
Sierra Vista,AZ,45399,46281,46466,45080,43572,43300,43080,42912
Tombstone,AZ,1392,1394,1371,1350,1329,1316,1302,1296
Willcox,AZ,3762,3764,3705,3645,3603,3554,3498,3501
Balance of Cochise County,AZ,51071,51358,50841,50246,49785,49417,49124,49124
Coconino County,AZ,134612,134181,136002,136448,137209,138682,140079,140776
Flagstaff,AZ,66145,66080,67900,68028,68502,69895,71060,71975
Fredonia,AZ,1331,1319,1312,1316,1317,1315,1315,1304
Page,AZ,7395,7419,7418,7477,7500,7498,7541,7553
Sedona,AZ,2865,2840,2835,2844,2886,2882,2880,2858
Tusayan,AZ,570,565,564,577,582,584,588,583
Williams,AZ,3032,3014,3011,3048,3084,3099,3139,3158
Balance of Coconino County,AZ,53274,52944,52962,53158,53338,53409,53556,53345
Gila County,AZ,53572,53422,52973,52982,53008,52935,53297,53501
Globe,AZ,7538,7509,7386,7349,7332,7315,7336,7356
Hayden,AZ,660,656,649,648,646,643,632,631
Miami,AZ,1822,1811,1792,1787,1775,1769,1772,1771
Payson,AZ,15320,15228,15145,15198,15234,15248,15404,15520
Star Valley,AZ,2308,2295,2275,2268,2273,2264,2276,2287
Winkelman,AZ,352,350,346,345,345,343,344,344
Balance of Gila County,AZ,25572,25573,25380,25387,25403,25353,25533,25592
Graham County,AZ,37158,37124,37009,37419,38064,37786,37767,37466
Pima,AZ,2379,2383,2401,2438,2484,2524,2516,2513
Safford,AZ,9532,9512,9517,9589,9765,9684,9652,9641
Thatcher,AZ,4835,4823,4833,4883,5003,4959,5014,5021
Balance of Graham County,AZ,20412,20406,20258,20509,20812,20619,20585,20291
Greenlee County,AZ,8332,8569,8744,8892,9319,9549,9623,9455
Clifton,AZ,3268,3346,3409,3457,3613,3692,3739,3680
Duncan,AZ,689,712,727,748,784,802,805,788
Balance of Greenlee County,AZ,4375,4511,4608,4687,4922,5055,5079,4987
La Paz County,AZ,20492,20582,20492,20479,20442,20342,20523,20601
Parker,AZ,3058,3121,3028,3091,3085,3063,3054,3059
Quartzsite,AZ,3685,3695,3693,3667,3658,3637,3679,3694
Balance of La Paz County,AZ,13749,13766,13771,13721,13699,13642,13790,13848
Maricopa County,AZ,3824644,3869626,3939776,4006307,4076708,4154076,4233383,4307033
Apache Junction,AZ,294,297,302,306,309,312,315,320
Avondale,AZ,76220,77145,78525,79451,80307,81457,82716,84025
Buckeye,AZ,51393,52520,54415,56616,59109,61636,64639,68453
Carefree,AZ,3367,3410,3472,3524,3571,3662,3732,3783
Cave Creek,AZ,4816,4891,5006,5160,5327,5465,5546,5622
Chandler,AZ,236486,236861,237682,239905,240898,243681,247838,253458
El Mirage,AZ,31802,32200,32769,33355,33891,34535,34942,35216
Fountain Hills,AZ,22509,22786,23184,23467,23758,24117,24364,24583
